epoch,train_loss,val_loss,train_acc,val_acc
0,1.8725721994308366,0.9327439161864194,0.3758052970651396,0.7223812249570692
1,1.0195692477564517,0.5899672614579851,0.6701503221188261,0.8036634230108758
2,0.6844295304208926,0.43148265426809135,0.7901216893342877,0.8649112764739554
3,0.5253645147386623,0.4929855663668026,0.8459556191839657,0.842587292501431
4,0.3883791789242005,0.2914558838714253,0.8883321403006442,0.9044075558099599
5,0.29034538498868656,0.2960884258743714,0.922118826055834,0.9055523755008587
6,0.22121967346294522,0.20885949516245586,0.937294201861131,0.9301659988551803
7,0.1737001633369609,0.20720398100939663,0.9547602004294917,0.933028048082427
8,0.1464884895064124,0.22710484699981118,0.9617752326413743,0.931310818546079
9,0.13901309991464258,0.2029843752568757,0.9659269863994273,0.9336004579278764
