epoch,train_loss,val_loss,train_acc,val_acc
0,1.780756257764262,0.9588956637815995,0.39584824624194703,0.6857469948483114
1,1.0081893908759276,0.6746587084098296,0.6697208303507516,0.772180881511162
2,0.703252757884545,0.43019993393258615,0.780386542591267,0.8603319977103606
3,0.5184376829514787,0.4055391945960847,0.8492483894058698,0.866056096164854
4,0.3795368435794756,0.2622612382285297,0.8889047959914101,0.9147109330280481
5,0.30642679768446107,0.2034421539717269,0.909663564781675,0.9324556382369776
6,0.23369786054006772,0.33870338660622523,0.9337151037938439,0.8975386376645679
7,0.18380471170204318,0.19121415077877993,0.9508947745168218,0.9381797366914711
8,0.1450680233452904,0.23072584722487424,0.9640658554044381,0.9238694905552376
9,0.13380514083161643,0.15281850820280274,0.9659269863994273,0.9536348025186033
