epoch,train_loss,val_loss,train_acc,val_acc
0,1.8669139760582616,0.9350850156762384,0.3686471009305655,0.6994848311390955
1,1.0414030664436331,0.9243465854363008,0.6568360773085182,0.6868918145392101
2,0.7489690661293964,0.8895811392502351,0.7683607730851826,0.6897538637664568
3,0.5494377181718224,0.43562317077409135,0.8352183249821045,0.8649112764739554
4,0.4014527722170206,0.4052815722809596,0.8803149606299212,0.86949055523755
5,0.30970637893274394,0.34607469933954155,0.913242662848962,0.8969662278191185
6,0.23270271224069922,0.26846006013961,0.9341445955619184,0.9210074413279908
7,0.18854997392309067,0.4118940288539637,0.945597709377237,0.8786491127647396
8,0.15841474636826552,0.3158626814796166,0.9567644953471726,0.9021179164281625
9,0.14380113365559133,0.3971955212595111,0.9669291338582677,0.8775042930738409
